p67813,p67796
p67660,p67524
p67354,p66606
p67201,p67184
p19787,p19781
p66606,p67201
p67524,p67354
p67184,p67082
p67796,p67660
p119698,p119634
p119634,p119730
p119674,p119634
p34828,p34813
p218474,p218468
p218434,p218428
p218500,p218494
p87363,p87355
p34878,p34868
p34888,p34868
p87403,p87303
p34758,p34728
p34698,p34673
p218454,p218462
p34768,p34753
p34883,p34868
p34753,p34733
p34320,p34506
p68943,p68924
p68639,p68278
p19782,p19786
p19799,p19790
p19790,p19786
p19792,p19799
p19780,p19792
p67150,p66487
p69059,p69087
p69121,p69105
p87331,p87299
p35457,p35452
p35450,p35447
p35435,p35453
p35440,p35439
p35456,p35454
p35439,p35435
p35447,p35442
p35446,p35440
p35453,p35450
p9531,p9519
p68240,p68430
p68373,p68430
p69038,p68886
p68430,p68715
p34479,p34362
p34476,p34449
p68544,p69038
p67813,p67796
p67660,p67524
p67354,p66606
p67201,p67184
p66606,p67201
p67524,p67354
p67184,p67082
p67796,p67660
p67949,p67728
p67728,p67031
p218486,p218478
p218478,p218476
p34758,p34728
p34698,p34673
p218494,p218478
p89671,p89623
p34320,p34506
p69019,p68354
p68620,p68354
p34494,p34407
p68582,p68620
p68354,p68810
p67762,p67745
p19790,p19786
p19791,p19785
p67507,p67779
p66895,p66674
p67898,p67830
p66878,p66470
p30882,p30862
p69123,p69105
p69103,p69101
p119602,p119738
p69099,p69081
p69095,p69123
p69081,p69123
p69101,p69099
p69139,p69073
p69073,p69101
p89608,p89593
p87347,p87283
p89611,p89656
p89797,p89722
p89599,p89812
p89620,p89746
p89689,p89683
p89686,p89644
p89578,p89818
p89650,p89629
p89680,p89641
p87259,p87251
p34863,p34823
p34723,p34718
p34963,p34948
p34823,p34963
p34718,p34863
p89707,p89644
p87411,p87203
p87351,p87243
p87299,p87275
p89704,p89641
p34848,p34778
p89683,p89650
p89791,p89713
p89593,p89689
p89641,p89620
p89629,p89578
p89812,p89611
p89746,p89674
p9405,p9279
p9279,p9897
p68240,p68430
p68373,p68430
p69038,p68886
p68430,p68715
p69057,p69000
p68449,p68297
p68867,p68848
p34377,p34440
p68297,p68829
p34449,p34416
